STORE,STORE CODE,DATE,ORDER #,RECEIPT#,AMOUNT OF RECEIPTS,BALANCE OUTSTANDING,DELIVERY DATE,COMM YES/NO,PRODUCT CODE,HEAD+BASE,HEAD+BASE + FRAME,COMPLETE,COLOR,DIRECT Y/N,PHOTO grnte/prpxs,WALL INCLUDED,COMMENTS
LICHTENBURG,LTX0000,29/12/24,867,2014,2000,5450,16/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,29/12/24,909,2015,200,0,20/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,30/01/24,809,2016,1000,0,N/A,YES,TRE041,N/A,X,N/A,B,NO,P,NO,
LICHTENBURG,LTX0000,02/01/24,733,2017,500,1000,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/01/24,1001,2018,2000,6300,14/02/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/01/24,1002,2019,19400,0,05/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,03/01/24,1003,2020,10000,7400,16/01/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,04/01/24,995,2021,3000,1650,25/03/24,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,856,2022,2100,4880,N/A,YES,TRS056,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,1004,2023,1000,3900,22/03/24,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,960,2024,1000,0,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/01/24,1005,2025,4500,0,08/02/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/01/24,997,2026,1320,2655,N/A,YES,TRD006,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/01/24,1006,2027,500,4000,20/03/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/01/24,1003,2028,7400,0,06/01/24,YES,TRE004,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,08/01/24,789,2029,500,1200,N/A,YES,TRB015,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,09/01/24,1720,2030,400,3200,26/04/24,YES,TRB015,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,09/01/24,743,2031,2000,0,21/02/24,YES,TRS004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,1007,2032,9000,2800,29/02/24,YES,TRS039,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,1007,2033,2800,0,29/02/24,YES,TRS039,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,976,2034,1500,8000,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,10/01/24,1008,2035,5650,0,13/01/24,YES,TRS004,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,11/01/24,1009,2036,11500,0,26/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,11/01/24,1010,2037,2000,2500,13/01/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,12/01/24,1010,2038,2500,0,13/01/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,12/01/24,1011,2039,1000,8000,14/01/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/01/24,1012,2040,5300,0,13/02/24,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,15/01/24,1013,2041,4500,0,20/02/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/01/24,1014,2042,1000,17400,16/05/24,YES,TRS004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/01/24,1015,2043,6000,5500,14/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,16/01/24,1015,2044,5500,0,14/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,19/01/24,1016,2045,11500,0,20/01/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,22/01/24,1017,2046,5000,5650,20/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/01/24,1018,2047,5650,0,20/03/24,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/01/24,904,2048,500,0,31/01/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/01/24,1019,2049,8900,0,27/01/24,YES,TRS046,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/01/24,904,2050,500,0,31/01/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,25/01/24,1020,2051,6300,0,27/01/24,YES,TRB004,N/A,X,N/A,B,YES,NO,YES,
LICHTENBURG,LTX0000,26/01/24,998,2052,2000,2800,13/02/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,26/01/24,810,2053,5000,5400,21/02/24,YES,TRE004,N/A,N/A,X,B,NO,P,YES,
LICHTENBURG,LTX0000,26/01/24,514,2054,1000,3500,14/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,26/01/24,514,2055,1000,2500,14/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,29/01/24,1021,2056,5000,4700,10/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/01/24,793,2057,1800,0,07/03/24,YES,TRE041,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,30/01/24,733,2059,1000,0,02/04/24,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/01/24,1022,2060,6000,0,03/02/24,YES,TRS046,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,30/01/24,1023,2061,9000,11100,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,YES,RECEPT NO 2058 WAS SKIPPED BY MISTAKE
LICHTENBURG,LTX0000,31/01/24,1024,2062,1690,12000,17/05/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,31/01/24,867,2063,1000,3950,16/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,31/01/24,1025,2064,8900,1900,03/02/24,YES,TRS045,N/A,N/A,X,B,YES,NO,NO,
LICHTENBURG,LTX0000,02/02/24,969,2065,4300,0,29/02/24,YES,TRB006,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,02/02/24,1001,2066,2000,4300,14/02/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,997,2067,1320,1335,16/02/24,YES,TRD006,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,993,2068,1000,13800,N/A,YES,TRS045,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,1720,2069,600,2600,02/04/24,YES,TRB004,N/A,X,N/A,B,YES,NO,YES,
LICHTENBURG,LTX0000,02/02/24,789,2070,400,800,03/05/24,YES,TRB015,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,02/02/24,790,2071,750,750,03/05/24,YES,TRS050,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,1027,2072,1000,3500,06/05/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/02/24,1015,2073,1900,0,03/02/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/02/24,1026,2074,6000,2350,28/03/24,YES,TRS047,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/02/24,1028,2075,6380,0,13/03/24,YES,TRB013,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/02/24,882,2076,1000,2000,N/A,YES,TRE041,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/02/24,1032,2077,1000,3500,N/A,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,05/02/24,1004,2078,3800,0,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/02/24,1029,2079,1000,2900,N/A,YES,TRC001,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/02/24,1030,2080,3000,8000,31/05/24,YES,TRE004,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/02/24,1032,2081,2000,5900,24/05/24,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,07/02/24,1033,2082,4980,0,06/05/24,YES,TRB015,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,07/02/24,1034,2083,2000,4000,06/05/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,07/02/24,992,2084,1000,4300,N/A,YES,TRB008,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,09/02/24,966,2085,2800,0,28/02/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,10/02/24,934,2086,2500,4900,N/A,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,12/02/24,1002,2087,190,0,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,12/02/24,995,2088,1650,0,N/A,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,13/02/24,1017,2089,5650,0,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,14/02/24,1035,2090,4000,0,17/02/24,YES,TRS061,X,N/A,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,17/02/24,1036,2091,1000,9660,N/A,NO,TRS009,N/A,N/A,X,B,NO,G,NO,
LICHTENBURG,LTX0000,20/02/24,976,2092,1500,6500,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/02/24,947,2093,6000,0,12/03/24,YES,TRE045,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,24/02/24,514,2094,1000,1500,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,24/02/24,769,2095,2500,9700,N/A,YES,TRB008,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,26/02/24,1023,2096,1300,9800,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,27/02/24,1037,2097,5650,0,N/A,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,27/02/24,1038,2098,4500,0,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,27/02/24,1039,2099,13500,0,N/A,YES,TRB013,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,27/02/24,1040,2100,4650,0,02/03/24,YES,TRE041,X,N/A,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,27/02/24,1034,2101,1500,2500,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/02/24,1041,2102,1000,5000,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/03/24,1047,2121,32100,0,22/03/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,QUERY WITH NOMSA.
LICHTENBURG,LTX0000,06/03/24,878,2122,500,1500,22/04/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/03/24,1048,2123,3000,3000,06/05/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/03/24,1049,2124,4500,0,03/04/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/03/24,1023,2125,1500,2800,17/05/24,YES,TRS046,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,07/03/24,1004,2126,1500,1400,22/03/24,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,07/03/24,1054,2027,7500,3050,09/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,08/03/24,1024,2128,1200,10800,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,08/03/24,1054,2129,8000,0,05/04/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,08/03/24,431,2130,3500,0,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,11/03/24,856,2131,1300,3580,N/A,YES,TRS056,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,12/03/24,1052,2132,4500,7000,31/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,13/03/24,952,2133,2000,10800,N/A,YES,TRS041,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,13/03/24,1053,2134,1000,10500,16/03/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,14/03/24,1054,2135,10000,28800,20/06/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,14/03/24,1053,2136,10500,0,16/03/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,14/03/24,1023,2137,1000,1800,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,14/03/24,976,2138,1500,5000,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/03/24,1055,2139,2000,2800,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,16/03/24,1056,2140,3000,13000,N/A,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,16/03/24,1023,2141,800,1000,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,20/03/24,1057,2142,4500,0,23/03/24,YES,TRB002,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,22/03/24,1056,2143,13000,0,N/A,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,22/03/24,1058,2144,21000,0,15/05/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/03/24,1059,2145,3650,2000,N/A,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/03/24,1050,2146,3050,0,14/03/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,25/03/24,1059,2147,2000,0,N/A,YES,TRS061,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,25/03/24,1060,2148,13230,0,23/04/24,YES,TRE041,N/A,N/A,X,B,NO,G,YES,
LICHTENBURG,LTX0000,26/03/24,1061,2149,5000,25000,30/03/24,YES,TRE045,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,27/03/24,1062,2150,11500,0,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,27/03/24,869,2151,600,0,22/05/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,28/03/24,810,2152,5400,0,02/05/24,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,28/03/24,1061,2153,25000,0,25/06/24,YES,TRE045,N/A,X,N/A,B,YES,NO,YES,
LICHTENBURG,LTX0000,28/03/24,1063,2155,1000,3500,17/05/24,YES,TRB004,N/A,N/A,X,B,NO,NO,YES,RECEIPT NO 2154 WAS CANCELED
LICHTENBURG,LTX0000,30/03/24,1041,2156,1000,4000,N/A,NO,TRE041,N/A,X,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,30/03/24,1083,2157,7760,0,26/04/24,NO,TRE041,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/03/24,1027,2158,1000,2500,N/A,NO,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/04/24,882,2159,500,1000,N/A,YES,TRE041,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,02/04/24,1064,2160,10900,0,25/04/24,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/04/24,926,2161,16800,0,N/A,YES,TRE031,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,03/04/24,1054,2162,1000,27800,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/04/24,1065,2163,4500,0,06/04/24,YES,TRB015,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,04/04/24,1024,2164,1200,9600,30/05/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/04/24,1034,2165,600,3900,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/04/24,1066,2166,3000,5900,22/05/24,YES,TRS,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/04/24,1032,2167,1000,4900,N/A,YES,SLAB ONLY,N/A,N/A,N/A,B,NO,NO,YES,
LICHTENBURG,LTX0000,04/04/24,1004,2168,500,900,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,04/04/24,878,2169,1000,500,22/04/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/04/24,1067,2170,3000,1500,22/05/24,YES,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,NO ENTRY,
LICHTENBURG,LTX0000,05/04/24,1001,2171,2300,2000,24/05/24,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,05/04/24,1027,2172,1000,15000,06/05/24,YES,TRB006,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/04/24,1068,2173,1700,7300,22/05/24,YES,TRB002,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/04/24,1069,2174,1900,1000,03/05/24,YES,TRC002,X,N/A,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,06/04/24,1070,2175,2000,2500,03/06/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,08/04/24,1071,2176,4500,0,14/05/24,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,08/04/24,1006,2177,1500,2500,N/A,YES,TRB015,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,08/04/24,1052,2178,7000,0,31/05/24,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,08/04/24,1048,2179,2000,1000,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,09/04/24,789,2180,400,0,31/05/24,YES,TRB015,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,09/04/24,1001,2181,2000,0,N/A,YES,OWN DESIGN,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,09/04/24,1022,2182,5000,5100,N/A,YES,TRE041,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,09/04/24,1720,2183,500,1600,N/A,YES,TRB004,N/A,X,N/A,B,YES,NO,YES,
LICHTENBURG,LTX0000,09/04/24,976,2184,1800,3200,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,09/04/24,743,2185,1800,0,02/05/24,YES,TRS004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,09/04/24,1073,2186,15600,0,12/04/24,YES,TRE004,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,10/04/24,1075,2187,11500,0,14/04/24,YES,TRE041,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,10/04/24,1074,2188,8050,0,12/04/24,YES,TRS003,N/A,X,N/A,B,NO,P,YES,
LICHTENBURG,LTX0000,10/04/24,1076,2189,10800,0,13/04/24,YES,TRS061,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,10/04/24,1023,2190,600,200,N/A,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,11/04/24,1077,2191,9860,0,23/04/24,YES,TRS004,N/A,N/A,X,B,YES,NO,NO,
LICHTENBURG,LTX0000,11/04/24,856,2192,1600,1980,22/04/24,YES,TRS056,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,12/04/24,934,2193,1000,900,N/A,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,15/04/24,749,2194,1215,0,N/A,YES,TRB012,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,15/04/24,1078,2195,1000,3900,N/A,YES,TRS046,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,17/04/24,1070,2196,1200,1300,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,17/04/24,1023,2197,200,0,N/A,YES,TRE004,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,18/04/24,1079,2198,4500,0,20/04/24,YES,TRB015,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,19/04/24,1080,2199,4900,0,20/04/24,YES,TRS046,N/A,X,N/A,B,YES,NO,NO,
LICHTENBURG,LTX0000,19/04/24,1068,2200,3000,4300,N/A,YES,TRB002,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,20/04/24,1082,2201,2170,0,N/A,YES,TRB015,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,20/04/24,514,2202,1500,0,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,22/04/24,1031,2203,450,3050,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,22/04/24,1054,2204,1000,26800,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/04/24,1082,2205,1500,0,N/A,YES,TRB015,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,24/04/24,862,2206,2500,3700,30/07/24,YES,TRC006,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,25/04/24,1084,2207,1000,10500,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,YES,
LICHTENBURG,LTX0000,26/04/24,1054,2208,1000,25800,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/04/24,1014,2209,15000,2400,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/04/24,1085,2210,10700,0,04/05/24,YES,TRB050,N/A,N/A,X,B,YES,NO,YES,
LICHTENBURG,LTX0000,29/04/24,1086,2211,7500,0,22/05/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,29/04/24,1087,2212,1000,7300,01/07/24,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,878,2213,500,0,N/A,YES,TRB004,N/A,X,N/A,B,NO,NO,NO,
LICHTENBURG,LTX0000,30/04/24,1054,2214,1000,24800,N/A,YES,TRE041,N/A,N/A,X,B,NO,NO,NO,
